GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - Core,com.jgalgo,RMQStatic.new RMQStatic.Builder() {...},74,0,12,0,16,0,9,0,3,0
JGAlgo - Core,com.jgalgo,UnionFindPtr,40,136,6,16,9,34,7,12,2,6
JGAlgo - Core,com.jgalgo,SplitFind,2,0,0,0,1,0,1,0,1,0
JGAlgo - Core,com.jgalgo,MaximumFlowPushRelabelAbstract,14,54,1,3,2,10,1,5,0,4
JGAlgo - Core,com.jgalgo,GraphTableAbstract.EdgeIterOut,17,91,3,7,4,23,3,10,1,7
JGAlgo - Core,com.jgalgo,MatchingImpl,106,93,13,9,21,26,11,10,4,6
JGAlgo - Core,com.jgalgo,GraphLinkedAbstract,14,187,2,6,1,46,2,16,0,14
JGAlgo - Core,com.jgalgo,Utils.Obj,0,11,0,0,0,4,0,2,0,2
JGAlgo - Core,com.jgalgo,MDST,2,0,0,0,1,0,1,0,1,0
JGAlgo - Core,com.jgalgo,HeapBinary,260,222,42,20,60,55,27,17,4,9
JGAlgo - Core,com.jgalgo,Trees.TreeNodeImpl,0,31,0,0,0,13,0,9,0,9
JGAlgo - Core,com.jgalgo,RMQStaticPlusMinusOne,4,15,1,1,1,4,1,2,0,2
JGAlgo - Core,com.jgalgo,RedBlackTreeExtension.ExtensionData.Obj,0,36,0,0,0,12,0,6,0,6
JGAlgo - Core,com.jgalgo,HeapPairing.WithIntKeys,40,151,10,22,2,39,10,14,0,8
JGAlgo - Core,com.jgalgo,LinkedListFixedSize.WithNext.new Utils.IterPeekable.Int() {...},8,42,2,4,2,9,2,5,0,4
JGAlgo - Core,com.jgalgo,GraphBuilderImpl,48,145,7,23,11,36,9,15,2,7
JGAlgo - Core,com.jgalgo,DataContainer.Byte.new AbstractByteList() {...},22,6,0,0,4,1,3,1,3,1
JGAlgo - Core,com.jgalgo,MDSTTarjan,59,507,8,48,12,109,7,30,2,7
JGAlgo - Core,com.jgalgo,CyclesFinder,2,0,0,0,1,0,1,0,1,0
